id,subject,text,label
681,Buy one get one free - Weekend special,"CLEARANCE EXTRAVAGANZA! Our warehouse is overflowing and everything must go! Designer clothing up to 80% off original prices, including brands like Calvin Klein, Michael Kors, and Kate Spade. Plus, take an additional 20% off already reduced clearance prices with code EXTRA20. This is your chance to build a designer wardrobe without the designer price tag. All sales final - no returns or exchanges on clearance items.",Promotion
295,Monthly bank statement ready for download,Auto-Pay Setup Confirmation: Thank you for setting up automatic payments for your personal loan. Your monthly payment of $342.15 will be automatically debited from your checking account on the 15th of each month. This will help ensure you never miss a payment and maintain your excellent credit rating. You can modify or cancel auto-pay anytime through your online account or by calling customer service.,Finance
314,Loan payment reminder - Auto-pay setup,"Important: Your tax documents for 2023 are now available for download. Please log into your account to access your 1099 forms, W-2 statements, and annual summary reports. These documents are required for filing your tax return. The deadline for filing is April 15th, 2024. If you need assistance accessing your documents or have questions about tax reporting, please contact our support team immediately.",Finance
472,Annual checkup appointment scheduled,"Spring Wellness Tips: As we enter spring, here are some healthy living tips to boost your wellbeing: Stay hydrated with at least 8 glasses of water daily, incorporate 30 minutes of physical activity into your routine, eat plenty of fresh fruits and vegetables, practice stress management techniques like meditation or yoga, and ensure you're getting 7-9 hours of quality sleep each night. Small changes can make a big difference in your overall health!",Health
538,Visa application status update,"Travel Insurance Important Notice: Your comprehensive travel insurance policy is now active for your upcoming Europe trip. Coverage includes medical emergencies, trip cancellation, lost luggage, and 24/7 emergency assistance. Keep your policy number (TI789456123) easily accessible during travel. In case of emergency, call our 24-hour hotline at +1-800-555-HELP. Remember to keep all receipts for any medical treatments or unexpected expenses for reimbursement claims.",Travel
1424,New integration partnerships announced,"Service Improvements: Based on your valuable feedback, we've implemented several improvements to enhance your experience. Page loading speeds have been increased by 40%, the search function now provides more accurate results, and we've added a new dashboard for better account management. We've also expanded our customer support hours to include weekend coverage and added live chat functionality. Thank you for helping us make our service better!",Updates
684,Buy one get one free - Weekend special,"FLASH SALE ALERT! For the next 24 hours only, enjoy 70% off EVERYTHING in our store! This incredible deal includes all clothing, accessories, home decor, and electronics. Use code FLASH70 at checkout to activate your discount. Free shipping on orders over $50. This is our biggest sale of the year - don't miss out! Shop now before your favorite items sell out. Sale ends tomorrow at 11:59 PM Pacific Time. No rain checks or price adjustments on previous purchases.",Promotion
1494,New integration partnerships announced,"New Feature Rollout: We're excited to introduce our enhanced collaboration tools! The new features include real-time document editing, video conferencing integration, shared project timelines, and advanced file organization options. These tools are designed to improve team productivity and streamline project management. The rollout will be gradual over the next two weeks, and all users will receive access by month-end. Training videos and documentation are available in our help center.",Updates
261,Financial planning consultation scheduled,"Payment Reminder: Your credit card payment of $1,247.83 is due on April 15th, 2024. To avoid late fees and interest charges, please ensure payment is made by 11:59 PM EST on the due date. You can make payments online, by phone, or through our mobile app. Your minimum payment due is $37.44. We recommend paying the full balance to avoid interest charges. Set up auto-pay to never miss a payment again.",Finance
1167,Professional development workshop series,"Tech Conference 2024: We're excited to announce our keynote speakers for this year's technology conference! Featured speakers include Dr. Sarah Chen (AI researcher at Stanford), Mark Rodriguez (CEO of TechStart), and Jennifer Walsh (cybersecurity expert). The three-day conference covers artificial intelligence, blockchain technology, cybersecurity, and startup innovation. Early bird tickets (before March 15th) are $299, regular price $399. Conference includes all sessions, networking events, and meals.",Events
376,Dental cleaning reminder - 6 months due,"Hello, Your prescription for Metformin 500mg is ready for pickup at CVS Pharmacy on Main Street. The prescription will be held for 10 days before being returned to stock. Pickup hours are Monday-Friday 8 AM to 9 PM, Saturday 9 AM to 7 PM, and Sunday 10 AM to 6 PM. You can also arrange for home delivery through our mobile app. Please bring a valid ID and insurance card when picking up your medication.",Health
732,Free shipping on all orders - No minimum,"Spring has arrived and so has our gorgeous new collection! Celebrate the season with 30% off all new arrivals including flowy dresses, lightweight cardigans, and bright accessories perfect for spring weather. Plus, spend $100 or more and receive a complimentary spring beauty kit worth $45. Use code SPRING30 at checkout. New styles are selling fast - shop now to secure your spring wardrobe essentials before they're gone!",Promotion
1010,Course materials uploaded - Download now,"Final Exam Schedule Released: Your final examinations have been scheduled for the week of May 6-10, 2024. Biology 301 final exam is Monday, May 6th at 2:00 PM in Lecture Hall B. The exam will be comprehensive, covering all material from the semester including molecular biology, genetics, and evolution. You are allowed one 8.5x11 inch note card (both sides) and a non-programmable calculator. Arrive 15 minutes early for seating arrangements.",Study
945,Make $5000 per week working from home,"AMAZING OPPORTUNITY! Work from home and make $5,000 per week with no experience required! This revolutionary system allows you to earn money while you sleep. Thousands of people are already making huge profits with our proven method. No skills needed, no selling required, just follow our simple system and watch the money roll in! Limited spots available - only 100 people will be accepted into this exclusive program. Send $99 processing fee to secure your spot today. Don't miss this life-changing opportunity!",Spam
527,Travel itinerary updated with new activities,"Travel Insurance Important Notice: Your comprehensive travel insurance policy is now active for your upcoming Europe trip. Coverage includes medical emergencies, trip cancellation, lost luggage, and 24/7 emergency assistance. Keep your policy number (TI789456123) easily accessible during travel. In case of emergency, call our 24-hour hotline at +1-800-555-HELP. Remember to keep all receipts for any medical treatments or unexpected expenses for reimbursement claims.",Travel
766,Cooking class - Learn to make pasta!,"Book Club Update: This month's meeting has been moved from Tuesday to Thursday, April 18th at 7 PM. We'll be meeting at Jennifer's house to discuss ""Where the Crawdads Sing"" by Delia Owens. Come prepared with your favorite quotes and discussion questions. Jennifer will provide wine and light appetizers. If you haven't finished the book yet, don't worry - we'll keep spoilers to a minimum during the first half of our discussion.",Social
620,Airport security and check-in guidelines,"Flight Confirmation: Your flight from Los Angeles to New York is confirmed for Friday, May 10th, 2024. Flight AA1234 departs at 8:45 AM from Terminal 4 and arrives at JFK at 5:15 PM EST. Please arrive at the airport 2 hours before departure for domestic flights. Your boarding pass is attached to this email. Check-in opens 24 hours before departure through our website or mobile app. Seat 12A has been assigned - window seat as requested.",Travel
222,Mom's birthday party this Saturday,"Hello book lovers! Due to scheduling conflicts, we're moving this month's book club meeting from Saturday to Sunday at 2 PM. We'll still be discussing ""The Seven Husbands of Evelyn Hugo"" and meeting at Sarah's house. Please bring your favorite quotes and discussion points. Sarah will provide coffee and light refreshments. Looking forward to our lively discussion about this incredible novel!",Personal
9,Team building event next Friday,"Welcome to our new team member Sarah Johnson who will be joining us as Senior Software Developer on Monday. Please find the onboarding checklist attached which includes IT setup, security badge creation, and initial project assignments. Sarah comes to us with 8 years of experience in full-stack development and will be a valuable addition to our engineering team. Please join me in welcoming her to the company.",Work
748,Free shipping on all orders - No minimum,"Spring has arrived and so has our gorgeous new collection! Celebrate the season with 30% off all new arrivals including flowy dresses, lightweight cardigans, and bright accessories perfect for spring weather. Plus, spend $100 or more and receive a complimentary spring beauty kit worth $45. Use code SPRING30 at checkout. New styles are selling fast - shop now to secure your spring wardrobe essentials before they're gone!",Promotion
1356,Data usage approaching monthly limit,"Security Alert: We detected unusual activity on your account including multiple failed login attempts from an unrecognized IP address in Eastern Europe. As a precautionary measure, we have temporarily locked your account. To restore access, please verify your identity by clicking the secure link below and answering your security questions. If you did not attempt to access your account, please contact our security team immediately at security@company.com or call 1-800-555-SECURITY.",Alerts
440,Annual checkup appointment scheduled,"Hello, Your prescription for Metformin 500mg is ready for pickup at CVS Pharmacy on Main Street. The prescription will be held for 10 days before being returned to stock. Pickup hours are Monday-Friday 8 AM to 9 PM, Saturday 9 AM to 7 PM, and Sunday 10 AM to 6 PM. You can also arrange for home delivery through our mobile app. Please bring a valid ID and insurance card when picking up your medication.",Health
591,Visa application status update,"Travel Insurance Important Notice: Your comprehensive travel insurance policy is now active for your upcoming Europe trip. Coverage includes medical emergencies, trip cancellation, lost luggage, and 24/7 emergency assistance. Keep your policy number (TI789456123) easily accessible during travel. In case of emergency, call our 24-hour hotline at +1-800-555-HELP. Remember to keep all receipts for any medical treatments or unexpected expenses for reimbursement claims.",Travel
1018,Tutoring services available for math courses,"Important Update: Assignment Deadline Extension. Due to technical difficulties with the online submission system, the deadline for your research paper has been extended from Friday, March 15th to Monday, March 18th at 11:59 PM. This extension applies to all students in Biology 301. Please use this additional time to review your citations and ensure all sources are properly documented according to APA format. The paper should be 8-10 pages double-spaced, not including the reference page. Submit through the course portal.",Study
